,0
1422,6505
1423,6506
1424,6508
1425,6509
1426,6510
1427,6512
1428,6514
1429,6515
1430,6516
1431,6523
1432,6525
1433,6527
1434,6530
1435,6531
1436,6532
1437,6533
1438,6535
1439,6538
1440,6541
1441,6542
1442,6547
1443,6548
1444,6552
1445,6556
1446,6558
1447,6560
1448,6561
1449,6568
1450,6569
1451,6570
1452,6573
1453,6574
1454,6576
1455,6577
1456,6578
1457,6579
1458,6581
1459,6582
1460,6588
1461,6589
1462,6590
1463,6591
1464,6592
1465,6593
1466,6594
1467,6596
1468,6598
1469,6603
1470,6605
1471,6609
1472,6612
1473,6613
1474,6615
1475,6616
1476,6624
1477,6625
1478,6629
1479,6640
1480,6641
1481,6642
1482,6643
1483,6649
1484,6651
1485,6654
1486,6655
1487,6661
1488,6662
1489,6664
1490,6666
1491,6667
1492,6668
1493,6669
1494,6670
1495,6671
1496,6672
1497,6674
1498,6679
1499,6680
1500,6683
1501,6690
1502,6697
1503,6698
1504,6703
1505,6706
1506,6712
1507,6715
1508,6716
1509,6727
1510,6728
1511,6732
1512,6733
1513,6743
1514,6747
1515,6751
1516,6752
1517,6754
1518,6756
1519,6762
1520,6767
1521,6781
1522,6803
1523,7402
1524,7556
1525,8011
1526,8016
1527,8021
1528,8024
1529,8027
1530,8028
1531,8032
1532,8033
1533,8034
1534,8038
1535,8039
1536,8040
1537,8042
1538,8043
1539,8044
1540,8046
1541,8047
1542,8048
1543,8049
1544,8050
1545,8054
1546,8059
1547,8064
1548,8066
1549,8067
1550,8068
1551,8069
1552,8070
1553,8071
1554,8072
1555,8074
1556,8076
1557,8077
1558,8080
1559,8081
1560,8083
1561,8084
1562,8085
1563,8086
1564,8087
1565,8088
1566,8089
1567,8091
1568,8092
1569,8093
1570,8096
1571,8097
1572,8099
1573,8101
1574,8103
1575,8104
1576,8105
1577,8107
1578,8109
1579,8110
1580,8111
1581,8112
1582,8114
1583,8121
1584,8131
1585,8147
1586,8150
1587,8155
1588,8163
1589,8171
1590,8176
1591,8182
1592,8183
1593,8201
1594,8210
1595,8213
1596,8215
1597,8222
1598,8234
1599,8240
1600,8249
1601,8255
1602,8261
1603,8271
1604,8277
1605,8279
1606,8284
1607,8289
1608,8291
1609,8299
1610,8341
1611,8342
1612,8349
1613,8354
1614,8358
1615,8367
1616,8374
1617,8383
1618,8390
1619,8401
1620,8403
1621,8404
1622,8406
1623,8409
1624,8410
1625,8411
1626,8415
1627,8416
1628,8418
1629,8420
1630,8421
1631,8422
1632,8423
1633,8424
1634,8426
1635,8427
1636,8429
1637,8431
1638,8432
1639,8433
1640,8435
1641,8436
1642,8437
1643,8440
1644,8442
1645,8443
1646,8444
1647,8446
1648,8450
1649,8454
1650,8455
1651,8462
1652,8463
1653,8464
1654,8466
1655,8467
1656,8472
1657,8473
1658,8476
1659,8477
1660,8478
1661,8480
1662,8481
1663,8482
1664,8488
1665,8489
1666,8499
1667,8905
1668,8906
1669,8908
1670,8916
1671,8917
1672,8921
1673,8923
1674,8924
1675,8926
1676,8927
1677,8928
1678,8929
1679,8930
1680,8931
1681,8932
1682,8933
1683,8935
1684,8936
1685,8937
1686,8938
1687,8940
1688,8941
1689,8942
1690,8996
1691,9103
1692,910322
1693,9105
1694,910861
1695,9110
1696,911608
1697,911613
1698,911616
1699,911622
1700,911868
1701,912000
1702,912398
1703,9136
1704,9188
1705,9802
1706,9902
1707,9904
1708,9905
1709,9906
1710,9907
1711,9908
1712,9910
1713,9911
1714,9912
1715,9914
1716,9917
1717,9918
1718,9919
1719,9921
